"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"1009_at","9.54962860211716","9.46222938854608","9.42145197080763","9.65005616267223","9.60020947173405","9.28970270886689","9.36467780785834","9.57517973026478","0.0633991013547615","-0.181854147592622","0.10735503256619","0.626826850414765","0.0374138404291159","0.519000066551857","1","0.253315911021231","1"
"101_at","6.66941012147908","6.66138700501005","6.52565798268413","6.57768998651069","6.6666854524963","6.76055752553683","6.58160886924251","6.56630936047734","-0.0352540280172571","-0.114414361024369","-0.0586755555411616","0.65453096435449","0.0309689666489187","0.559450945089993","1","0.217379699709121","1"
"1010_at","6.77340041413468","6.63665530685983","6.52971127571087","6.85117268605823","6.44918793955504","6.35001458332657","6.43818348039672","6.43374448781582","0.279952297917362","-0.127346798791066","-0.232684679265482","0.00562650399534123","0.0389107205446409","0.0571626650762073","0.21789758570915","0.261580323150209","1"
"1011_s_at","7.52666349414528","7.459973589016","7.64707535777995","7.47926107322327","7.0820751203271","6.99341484720177","7.32301706768955","7.33439907979091","0.34501684978879","0.18067690549856","-0.12053008372778","0.103370212437328","0.176101406720259","0.645300221322267","1","0.880042324782926","1"
"1012_at","4.15463347557887","4.32097922492555","4.12523098997069","4.09870912724493","4.14102940873887","4.1025698680416","4.22026954392396","4.05768693118193","0.0444992664584161","0.024918824788454","-0.108642620793265","0.625175774612319","0.667343466191738","0.352793193017635","1","1","1"
"1013_at","3.29375171999271","3.30471159521945","3.41618500684899","3.31671705369859","3.09894708361273","3.13899138114651","3.33601491066044","3.2021723178047","0.138809920633839","0.179750556951992","-0.114634540191429","0.321310538457434","0.0514952137157514","0.517356596918972","1","0.329400645074157","1"
"1014_at","7.04216017529339","7.04979171564049","7.1369774108241","6.99258827677456","7.07968445485506","7.03529983661699","7.10778434341529","7.02342323295847","-0.00616857232831447","0.0614585620454724","0.0667173469704672","0.916389534172148","0.111379617054995","0.377218019719817","1","0.615129985049209","1"
"1015_s_at","6.0755022950505","5.9816425696026","6.00939850968849","6.01951182627495","6.14511459732026","5.99925852118193","6.06167192198432","6.14305183010241","-0.0657604174930935","-0.0747732303489768","0.0173388899739297","0.512444216679754","0.247500690556076","0.891612863986524","1","1","1"
"1016_s_at","3.89656970156094","3.95196509539051","3.89141933364197","3.89075856956377","3.90616935702082","4.17264998092435","3.64445168915209","3.79406175010436","0.0283449807388907","-0.133434017893848","0.256567299949768","0.751197484772818","0.0272133149643424","0.0329980211151709","1","0.195394180905113","1"
"1017_at","5.28862810549797","5.33188480151691","5.67388229900633","5.25928012697743","5.24458741377943","5.24874679316149","5.37895559005768","5.31907392285545","0.0905779032861453","0.259811184893309","0.2508860172301","0.443649313072992","0.00205791652333064","0.104358276929324","1","0.0214957496748892","1"
"1018_at","7.66242428802684","7.66206995843804","7.05445996478793","7.65169084802031","7.54473082428137","7.56554891822002","6.91610378952704","7.51486917371003","0.122348088383668","-0.618295678996618","0.0206627115154232","0.293397206458314","2.84409804978126e-08","0.88774416799939","1","1.20627338897497e-06","1"
"1019_g_at","8.41285167101242","8.39410285991605","7.73898029024567","8.39353735152075","8.20800011104516","8.22392388199613","7.58291852494568","8.15150967544829","0.193279994814907","-0.649476483433115","-0.0487897946672629","0.124341199305244","3.48094655692164e-08","0.754178175532942","1","1.43305272655877e-06","1"
"102_at","3.49635839618427","3.44988542174799","3.46522648643962","3.36137048541929","3.39798663958178","3.46624094963229","3.39584818259661","3.38310623238796","0.0324146963981313","-0.0166351833649128","-0.0289934527594684","0.771247788681269","0.814713285646742","0.838152616746213","1","1","1"
"1020_s_at","7.00082239155041","7.11762781691175","6.598117321997","7.0172064637357","7.02470819682603","7.06777920757597","6.54208301367736","7.10038146716815","-0.000294472763162856","-0.442665126351041","0.0799201135952643","0.997466656483313","1.9530420537817e-07","0.501108604008565","1","6.44350764694965e-06","1"
"1021_at","4.76683533730739","4.77415542748669","4.7921246593714","4.86300948512054","4.65222728998619","4.76003310722549","4.72642645123829","4.59916461658011","0.114568361063983","0.049744241658054","-0.0489098391880844","0.1478996257054","0.31740617759544","0.61984591711426","1","1","1"
"1022_f_at","4.1381353745631","4.17441633693252","4.09036351483018","4.03109149650468","4.04875460603096","3.87539795668828","3.88206709878332","3.92289207674905","0.176223746144718","-0.107229683490282","0.118915647514712","0.137870330152186","0.155392677867135","0.422990970422511","1","0.796629354929309","1"
"1023_at","6.61184725289532","6.59998740385729","6.53249307717917","6.61406612433183","6.55617067988589","6.61069531662861","6.49032071301892","6.54364600976922","0.0393902847402436","-0.0726020712915596","-0.0135042088491728","0.620193948490375","0.160309404901169","0.8936040234169","1","0.81620092897322","1"
